"Well","Sample","Target","Concentration","CopiesPer20uLWell","AcceptedDroplets","Positives","Negatives","sample_characters","control_check","sample_name_check15","accepted_droplet_limit2","accepted_droplet_count2","ntc_control_check3","pos_control_check4","pos_control_breakdown","negvalue_control_check55","ext_neg_control_check6","sample_wells_positives7","sample_wells_negatives75","sample_pos_limit_flag9","plate_name"
"F02","26CC260317I","FLUB",0,0,17196,0,17196,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F02","26CC260317I","RSV",0,0,17196,0,17196,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F02","26CC260317I","SC2",0.219464645,4.389292717,17196,3,17193,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F03","26CC260317I","FLUA",0,0,17484,0,17484,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F03","26CC260317I","FLUB",0.071945645,1.438912868,17484,1,17483,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F03","26CC260317I","RSV",0,0,17484,0,17484,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F03","26CC260317I","SC2",0.071945645,1.438912868,17484,1,17483,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G01","26CC260322I","FLUA",0.072513856,1.45027709,17347,1,17346,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G01","26CC260322I","FLUB",0,0,17347,0,17347,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G01","26CC260322I","RSV",0.217554107,4.351082325,17347,3,17344,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G01","26CC260322I","SC2",0.145031884,2.900637627,17347,2,17345,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G02","26CC260322I","FLUA",0,0,17192,0,17192,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G02","26CC260322I","FLUB",0.439069748,8.781394958,17192,6,17186,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G02","26CC260322I","RSV",0.073167644,1.463352919,17192,1,17191,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G02","26CC260322I","SC2",0.292696148,5.853922844,17192,4,17188,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G03","26CC260322I","FLUA",0.070533633,1.410672665,17834,1,17833,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G03","26CC260322I","FLUB",0.282158285,5.643165588,17834,4,17830,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G03","26CC260322I","RSV",0.352707744,7.054154873,17834,5,17829,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G03","26CC260322I","SC2",0.211612776,4.232255459,17834,3,17831,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H01","26JJ260317I","FLUA",0.078164458,1.563289165,16093,1,16092,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H01","26JJ260317I","FLUB",0,0,16093,0,16093,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H01","26JJ260317I","RSV",0.078164458,1.563289165,16093,1,16092,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H01","26JJ260317I","SC2",0.156333789,3.126675844,16093,2,16091,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H02","26JJ260317I","FLUA",0.074533321,1.490666389,16877,1,16876,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H02","26JJ260317I","FLUB",0.074533321,1.490666389,16877,1,16876,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H02","26JJ260317I","RSV",0.223613217,4.47226429,16877,3,16874,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H02","26JJ260317I","SC2",0.372710794,7.454216003,16877,5,16872,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H03","26JJ260317I","FLUA",0.296089351,5.921787262,16995,4,16991,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H03","26JJ260317I","FLUB",0.074015811,1.480316162,16995,1,16994,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H03","26JJ260317I","RSV",0.074015811,1.480316162,16995,1,16994,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"H03","26JJ260317I","SC2",0.222060487,4.441209793,16995,3,16992,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"G04","NEG","FLUA",0,0,16190,0,16190,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G05","NEG","FLUA",0,0,15439,0,15439,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G06","NEG","FLUA",0,0,16268,0,16268,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E04","POS","FLUA",24.8484745,496.9694824,15388,301,15087,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E05","POS","FLUA",26.06889534,521.3779297,15406,316,15090,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E06","POS","FLUA",25.19695854,503.9391785,16337,324,16013,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H04","NTC","FLUA",0,0,16669,0,16669,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H05","NTC","FLUA",0,0,15573,0,15573,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H06","NTC","FLUA",0,0,16626,0,16626,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G04","NEG","FLUB",0,0,16190,0,16190,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G05","NEG","FLUB",0,0,15439,0,15439,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G06","NEG","FLUB",0,0,16268,0,16268,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E04","POS","FLUB",19.60685921,392.1371765,15388,238,15150,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E05","POS","FLUB",20.16440582,403.2881165,15406,245,15161,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E06","POS","FLUB",20.02314758,400.4629517,16337,258,16079,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H04","NTC","FLUB",0,0,16669,0,16669,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H05","NTC","FLUB",0,0,15573,0,15573,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H06","NTC","FLUB",0,0,16626,0,16626,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G04","NEG","RSV",0,0,16190,0,16190,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G05","NEG","RSV",0,0,15439,0,15439,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G06","NEG","RSV",0,0,16268,0,16268,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E04","POS","RSV",26.26663017,525.3325806,15388,318,15070,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E05","POS","RSV",21.65869713,433.1739502,15406,263,15143,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E06","POS","RSV",22.60739136,452.1478271,16337,291,16046,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H04","NTC","RSV",0,0,16669,0,16669,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H05","NTC","RSV",0,0,15573,0,15573,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H06","NTC","RSV",0,0,16626,0,16626,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G04","NEG","SC2",0,0,16190,0,16190,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G05","NEG","SC2",0,0,15439,0,15439,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"G06","NEG","SC2",0,0,16268,0,16268,3,"Control",,0,0,0,,,0,0,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E04","POS","SC2",19.35780144,387.1560364,15388,235,15153,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E05","POS","SC2",20.41333008,408.2666016,15406,248,15158,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"E06","POS","SC2",19.8666954,397.3339233,16337,256,16081,3,"Control",,0,0,0,0,0,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H04","NTC","SC2",0,0,16669,0,16669,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H05","NTC","SC2",0,0,15573,0,15573,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"H06","NTC","SC2",0,0,16626,0,16626,3,"Control",,0,0,0,,,,,,,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A01","26BB260327I","FLUA",0,0,13329,0,13329,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A01","26BB260327I","FLUB",0,0,13329,0,13329,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A01","26BB260327I","RSV",0,0,13329,0,13329,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A01","26BB260327I","SC2",0.377537817,7.550756454,13329,4,13325,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A02","26BB260329I","FLUA",0,0,14757,0,14757,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A02","26BB260329I","FLUB",0,0,14757,0,14757,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A02","26BB260329I","RSV",0.085241191,1.704823852,14757,1,14756,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A02","26BB260329I","SC2",0.170488149,3.409762859,14757,2,14755,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A03","26CC260326I","FLUA",0,0,16070,0,16070,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A03","26CC260326I","FLUB",0.078276336,1.565526724,16070,1,16069,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A03","26CC260326I","RSV",0.078276336,1.565526724,16070,1,16069,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A03","26CC260326I","SC2",0.15655756,3.131151199,16070,2,16068,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A04","26LL260329I","FLUA",0,0,14604,0,14604,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A04","26LL260329I","FLUB",0.086134255,1.722685099,14604,1,14603,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A04","26LL260329I","RSV",0.172274411,3.445488214,14604,2,14602,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A04","26LL260329I","SC2",0.172274411,3.445488214,14604,2,14602,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A05","26LL260330I","FLUA",0,0,15035,0,15035,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A05","26LL260330I","FLUB",0,0,15035,0,15035,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A05","26LL260330I","RSV",0,0,15035,0,15035,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A05","26LL260330I","SC2",0.251011729,5.020234585,15035,3,15032,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A06","26HH260326I","FLUA",0,0,14575,0,14575,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A06","26HH260326I","FLUB",0,0,14575,0,14575,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A06","26HH260326I","RSV",0,0,14575,0,14575,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"A06","26HH260326I","SC2",0,0,14575,0,14575,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B01","26BB260327I","FLUA",0,0,17645,0,17645,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B01","26BB260327I","FLUB",0.2138796,4.277592182,17645,3,17642,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B01","26BB260327I","RSV",0,0,17645,0,17645,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B01","26BB260327I","SC2",0.142582357,2.851647139,17645,2,17643,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B02","26BB260329I","FLUA",0,0,16952,0,16952,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B02","26BB260329I","FLUB",0,0,16952,0,16952,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B02","26BB260329I","RSV",0.074203558,1.484071136,16952,1,16951,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B02","26BB260329I","SC2",0,0,16952,0,16952,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B03","26CC260326I","FLUA",0.071019486,1.420389652,17712,1,17711,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B03","26CC260326I","FLUB",0.071019486,1.420389652,17712,1,17711,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B03","26CC260326I","RSV",0.071019486,1.420389652,17712,1,17711,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B03","26CC260326I","SC2",0.071019486,1.420389652,17712,1,17711,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B04","26LL260329I","FLUA",0,0,16710,0,16710,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B04","26LL260329I","FLUB",0,0,16710,0,16710,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B04","26LL260329I","RSV",0.225848213,4.516964436,16710,3,16707,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B04","26LL260329I","SC2",0.07527823,1.50556457,16710,1,16709,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B05","26LL260330I","FLUA",0,0,17296,0,17296,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B05","26LL260330I","FLUB",0,0,17296,0,17296,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B05","26LL260330I","RSV",0,0,17296,0,17296,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B05","26LL260330I","SC2",0.145459563,2.909191132,17296,2,17294,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B06","26HH260326I","FLUA",0,0,17564,0,17564,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B06","26HH260326I","FLUB",0,0,17564,0,17564,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B06","26HH260326I","RSV",0.214866027,4.297320366,17564,3,17561,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"B06","26HH260326I","SC2",0.214866027,4.297320366,17564,3,17561,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C01","26BB260327I","FLUA",0,0,15545,0,15545,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C01","26BB260327I","FLUB",0,0,15545,0,15545,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C01","26BB260327I","RSV",0.080920041,1.618400812,15545,1,15544,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C01","26BB260327I","SC2",0.161845297,3.236906052,15545,2,15543,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C02","26BB260329I","FLUA",0,0,16941,0,16941,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C02","26BB260329I","FLUB",0,0,16941,0,16941,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C02","26BB260329I","RSV",0,0,16941,0,16941,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C02","26BB260329I","SC2",0,0,16941,0,16941,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C03","26CC260326I","FLUA",0,0,17951,0,17951,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C03","26CC260326I","FLUB",0,0,17951,0,17951,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C03","26CC260326I","RSV",0.140151709,2.803034306,17951,2,17949,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C03","26CC260326I","SC2",0.140151709,2.803034306,17951,2,17949,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C04","26LL260329I","FLUA",0,0,16598,0,16598,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C04","26LL260329I","FLUB",0,0,16598,0,16598,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C04","26LL260329I","RSV",0.530599415,10.61198807,16598,7,16591,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C04","26LL260329I","SC2",0.075786211,1.515724182,16598,1,16597,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C05","26LL260330I","FLUA",0,0,15882,0,15882,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C05","26LL260330I","FLUB",0,0,15882,0,15882,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C05","26LL260330I","RSV",0.158410877,3.168217659,15882,2,15880,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C05","26LL260330I","SC2",0,0,15882,0,15882,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C06","26HH260326I","FLUA",0.080356568,1.607131362,15654,1,15653,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C06","26HH260326I","FLUB",0,0,15654,0,15654,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C06","26HH260326I","RSV",0,0,15654,0,15654,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"C06","26HH260326I","SC2",0.160718292,3.214365959,15654,2,15652,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D01","26CC260329I","FLUA",0.096874095,1.93748188,12985,1,12984,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D01","26CC260329I","FLUB",0,0,12985,0,12985,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D01","26CC260329I","RSV",0,0,12985,0,12985,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D01","26CC260329I","SC2",0,0,12985,0,12985,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D02","26CC260329I","FLUA",0.136932462,2.738649368,18373,2,18371,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D02","26CC260329I","FLUB",0.136932462,2.738649368,18373,2,18371,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D02","26CC260329I","RSV",0.068464369,1.369287372,18373,1,18372,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D02","26CC260329I","SC2",0.068464369,1.369287372,18373,1,18372,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D03","26CC260329I","FLUA",0.073325463,1.466509223,17155,1,17154,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D03","26CC260329I","FLUB",0,0,17155,0,17155,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D03","26CC260329I","RSV",0,0,17155,0,17155,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D03","26CC260329I","SC2",0.146655202,2.933104038,17155,2,17153,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D04","26HH260327I","FLUA",0,0,16286,0,16286,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D04","26HH260327I","FLUB",0,0,16286,0,16286,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D04","26HH260327I","RSV",0.077238135,1.544762731,16286,1,16285,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D04","26HH260327I","SC2",0.154481009,3.089620113,16286,2,16284,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D05","26HH260327I","FLUA",0,0,16331,0,16331,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D05","26HH260327I","FLUB",0.154055297,3.081105947,16331,2,16329,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D05","26HH260327I","RSV",0,0,16331,0,16331,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D05","26HH260327I","SC2",0.077025302,1.540506005,16331,1,16330,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D06","26HH260327I","FLUA",0.076412335,1.528246641,16462,1,16461,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D06","26HH260327I","FLUB",0,0,16462,0,16462,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
"D06","26HH260327I","RSV",0,0,16462,0,16462,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.31.26_GT_fiveplex2_QX600.csv"
